Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530100707
Firmware Version,3.0
Calibration Date,06/18/2013
Test Name,8530C_2-5_003
Test Start Time,12:15:49 PM
Test Start Date,07/29/2014
Test Length [D:H:M],0:0:47
Test Interval [M:S],0:1
Mass Average [mg/m3],0.009
Mass Minimum [mg/m3],0.004
Mass Maximum [mg/m3],0.037
Mass TWA [mg/m3],0.001
Photometric User Cal,1.00
Flow User Cal,0.00
Errors,
Number of Samples,2878

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
1,0.011,,
2,0.011,,
3,0.012,,
4,0.013,,
5,0.012,,
6,0.011,,
7,0.012,,
8,0.013,,
9,0.013,,
10,0.012,,
11,0.012,,
12,0.011,,
13,0.011,,
14,0.012,,
15,0.011,,
16,0.012,,
17,0.011,,
18,0.013,,
19,0.013,,
20,0.012,,
21,0.012,,
22,0.012,,
23,0.011,,
24,0.011,,
25,0.012,,
26,0.013,,
27,0.013,,
28,0.012,,
29,0.012,,
30,0.012,,
31,0.011,,
32,0.011,,
33,0.011,,
34,0.011,,
35,0.012,,
36,0.012,,
37,0.011,,
38,0.011,,
39,0.012,,
40,0.011,,
41,0.012,,
42,0.012,,
43,0.012,,
44,0.011,,
45,0.010,,
46,0.012,,
47,0.013,,
48,0.013,,
49,0.014,,
50,0.014,,
51,0.013,,
52,0.012,,
53,0.011,,
54,0.011,,
55,0.011,,
56,0.012,,
57,0.011,,
58,0.011,,
59,0.012,,
60,0.011,,
61,0.013,,
62,0.013,,
63,0.011,,
64,0.012,,
65,0.012,,
66,0.012,,
67,0.011,,
68,0.010,,
69,0.011,,
70,0.011,,
71,0.011,,
72,0.011,,
73,0.011,,
74,0.021,,
75,0.037,,
76,0.017,,
77,0.012,,
78,0.011,,
79,0.011,,
80,0.011,,
81,0.011,,
82,0.011,,
83,0.010,,
84,0.011,,
85,0.012,,
86,0.012,,
87,0.012,,
88,0.010,,
89,0.010,,
90,0.011,,
91,0.011,,
92,0.011,,
93,0.010,,
94,0.010,,
95,0.010,,
96,0.011,,
97,0.010,,
98,0.011,,
99,0.011,,
100,0.012,,
101,0.012,,
102,0.012,,
103,0.012,,
104,0.012,,
105,0.011,,
106,0.010,,
107,0.010,,
108,0.011,,
109,0.009,,
110,0.009,,
111,0.010,,
112,0.011,,
113,0.011,,
114,0.010,,
115,0.010,,
116,0.010,,
117,0.010,,
118,0.010,,
119,0.010,,
120,0.010,,
121,0.010,,
122,0.010,,
123,0.010,,
124,0.010,,
125,0.010,,
126,0.011,,
127,0.011,,
128,0.012,,
129,0.010,,
130,0.010,,
131,0.010,,
132,0.011,,
133,0.010,,
134,0.010,,
135,0.010,,
136,0.010,,
137,0.010,,
138,0.011,,
139,0.009,,
140,0.010,,
141,0.013,,
142,0.015,,
143,0.015,,
144,0.013,,
145,0.011,,
146,0.010,,
147,0.010,,
148,0.011,,
149,0.011,,
150,0.011,,
151,0.010,,
152,0.010,,
153,0.010,,
154,0.011,,
155,0.011,,
156,0.010,,
157,0.010,,
158,0.011,,
159,0.011,,
160,0.010,,
161,0.010,,
162,0.010,,
163,0.011,,
164,0.012,,
165,0.020,,
166,0.017,,
167,0.012,,
168,0.011,,
169,0.011,,
170,0.010,,
171,0.010,,
172,0.011,,
173,0.012,,
174,0.010,,
175,0.010,,
176,0.010,,
177,0.010,,
178,0.011,,
179,0.012,,
180,0.012,,
181,0.011,,
182,0.011,,
183,0.010,,
184,0.010,,
185,0.011,,
186,0.011,,
187,0.011,,
188,0.011,,
189,0.011,,
190,0.010,,
191,0.011,,
192,0.010,,
193,0.010,,
194,0.011,,
195,0.012,,
196,0.011,,
197,0.010,,
198,0.011,,
199,0.011,,
200,0.011,,
201,0.011,,
202,0.011,,
203,0.011,,
204,0.011,,
205,0.010,,
206,0.010,,
207,0.010,,
208,0.010,,
209,0.010,,
210,0.011,,
211,0.011,,
212,0.011,,
213,0.010,,
214,0.010,,
215,0.010,,
216,0.010,,
217,0.010,,
218,0.010,,
219,0.010,,
220,0.011,,
221,0.009,,
222,0.010,,
223,0.010,,
224,0.010,,
225,0.010,,
226,0.010,,
227,0.010,,
228,0.010,,
229,0.011,,
230,0.011,,
231,0.009,,
232,0.009,,
233,0.010,,
234,0.010,,
235,0.011,,
236,0.012,,
237,0.011,,
238,0.010,,
239,0.009,,
240,0.009,,
241,0.010,,
242,0.010,,
243,0.010,,
244,0.010,,
245,0.011,,
246,0.009,,
247,0.010,,
248,0.010,,
249,0.009,,
250,0.009,,
251,0.010,,
252,0.015,,
253,0.019,,
254,0.018,,
255,0.020,,
256,0.018,,
257,0.015,,
258,0.011,,
259,0.012,,
260,0.012,,
261,0.013,,
262,0.013,,
263,0.012,,
264,0.013,,
265,0.014,,
266,0.012,,
267,0.014,,
268,0.014,,
269,0.014,,
270,0.017,,
271,0.016,,
272,0.016,,
273,0.016,,
274,0.019,,
275,0.018,,
276,0.012,,
277,0.009,,
278,0.009,,
279,0.010,,
280,0.011,,
281,0.012,,
282,0.010,,
283,0.011,,
284,0.012,,
285,0.011,,
286,0.010,,
287,0.009,,
288,0.010,,
289,0.011,,
290,0.011,,
291,0.011,,
292,0.011,,
293,0.010,,
