Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530100707
Firmware Version,3.0
Calibration Date,06/18/2013
Test Name,8530C_2-5_001
Test Start Time,01:01:07 PM
Test Start Date,07/16/2014
Test Length [D:H:M],0:0:54
Test Interval [M:S],0:1
Mass Average [mg/m3],0.012
Mass Minimum [mg/m3],0.001
Mass Maximum [mg/m3],0.157
Mass TWA [mg/m3],0.001
Photometric User Cal,1.00
Flow User Cal,0.00
Errors,
Number of Samples,3259

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
1,0.012,,
2,0.013,,
3,0.012,,
4,0.012,,
5,0.011,,
6,0.011,,
7,0.011,,
8,0.012,,
9,0.011,,
10,0.011,,
11,0.011,,
12,0.011,,
13,0.011,,
14,0.011,,
15,0.011,,
16,0.012,,
17,0.012,,
18,0.011,,
19,0.011,,
20,0.012,,
21,0.013,,
22,0.011,,
23,0.011,,
24,0.012,,
25,0.012,,
26,0.011,,
27,0.012,,
28,0.012,,
29,0.012,,
30,0.011,,
31,0.011,,
32,0.013,,
33,0.015,,
34,0.015,,
35,0.012,,
36,0.016,,
37,0.016,,
38,0.012,,
39,0.011,,
40,0.011,,
41,0.012,,
42,0.013,,
43,0.012,,
44,0.011,,
45,0.010,,
46,0.011,,
47,0.011,,
48,0.010,,
49,0.011,,
50,0.012,,
51,0.011,,
52,0.012,,
53,0.011,,
54,0.011,,
55,0.011,,
56,0.012,,
57,0.012,,
58,0.011,,
59,0.014,,
60,0.014,,
61,0.010,,
62,0.011,,
63,0.011,,
64,0.012,,
65,0.012,,
66,0.012,,
67,0.011,,
68,0.011,,
69,0.011,,
70,0.012,,
71,0.014,,
72,0.013,,
73,0.011,,
74,0.012,,
75,0.013,,
76,0.012,,
77,0.011,,
78,0.012,,
79,0.011,,
80,0.010,,
81,0.011,,
82,0.010,,
83,0.012,,
84,0.012,,
85,0.011,,
86,0.011,,
87,0.012,,
88,0.013,,
89,0.013,,
90,0.011,,
91,0.012,,
92,0.013,,
93,0.012,,
94,0.012,,
95,0.012,,
96,0.011,,
97,0.011,,
98,0.011,,
99,0.010,,
100,0.012,,
101,0.012,,
102,0.012,,
103,0.011,,
104,0.012,,
105,0.012,,
106,0.011,,
107,0.012,,
108,0.012,,
109,0.012,,
110,0.012,,
111,0.011,,
112,0.011,,
113,0.012,,
114,0.012,,
115,0.011,,
116,0.011,,
117,0.011,,
118,0.011,,
119,0.012,,
120,0.012,,
121,0.011,,
122,0.011,,
123,0.012,,
124,0.012,,
125,0.013,,
126,0.012,,
127,0.012,,
128,0.012,,
129,0.012,,
130,0.011,,
131,0.011,,
132,0.011,,
133,0.011,,
134,0.012,,
135,0.011,,
136,0.010,,
137,0.012,,
138,0.014,,
139,0.012,,
140,0.012,,
141,0.013,,
142,0.014,,
143,0.011,,
144,0.011,,
145,0.012,,
146,0.011,,
147,0.010,,
148,0.011,,
149,0.011,,
150,0.011,,
151,0.011,,
152,0.012,,
153,0.012,,
154,0.012,,
155,0.012,,
156,0.012,,
157,0.012,,
158,0.013,,
159,0.013,,
160,0.012,,
161,0.013,,
162,0.013,,
163,0.013,,
164,0.012,,
165,0.012,,
166,0.012,,
167,0.012,,
168,0.012,,
169,0.012,,
170,0.011,,
171,0.011,,
172,0.013,,
173,0.012,,
174,0.011,,
175,0.011,,
176,0.011,,
177,0.011,,
178,0.011,,
179,0.013,,
180,0.015,,
181,0.015,,
182,0.013,,
183,0.011,,
184,0.012,,
185,0.011,,
186,0.012,,
187,0.013,,
188,0.012,,
189,0.010,,
190,0.010,,
191,0.012,,
192,0.013,,
193,0.011,,
194,0.012,,
195,0.012,,
196,0.011,,
197,0.010,,
198,0.010,,
199,0.011,,
200,0.012,,
201,0.012,,
202,0.012,,
203,0.010,,
204,0.011,,
205,0.011,,
206,0.011,,
207,0.012,,
208,0.012,,
209,0.011,,
210,0.012,,
211,0.011,,
212,0.010,,
213,0.012,,
214,0.013,,
215,0.011,,
216,0.012,,
217,0.011,,
218,0.011,,
219,0.012,,
220,0.012,,
221,0.011,,
222,0.011,,
223,0.011,,
224,0.011,,
225,0.012,,
226,0.011,,
227,0.010,,
228,0.011,,
229,0.011,,
230,0.010,,
231,0.011,,
232,0.011,,
233,0.012,,
234,0.012,,
235,0.012,,
236,0.012,,
237,0.012,,
238,0.011,,
239,0.010,,
240,0.010,,
241,0.011,,
242,0.011,,
243,0.011,,
244,0.010,,
245,0.010,,
246,0.011,,
247,0.011,,
248,0.010,,
249,0.010,,
250,0.010,,
251,0.011,,
252,0.011,,
253,0.012,,
254,0.012,,
255,0.011,,
256,0.010,,
257,0.010,,
258,0.011,,
259,0.012,,
260,0.010,,
261,0.011,,
262,0.012,,
263,0.011,,
264,0.012,,
265,0.012,,
266,0.011,,
267,0.011,,
268,0.010,,
269,0.010,,
270,0.011,,
271,0.011,,
272,0.011,,
273,0.010,,
274,0.011,,
275,0.012,,
276,0.011,,
277,0.011,,
278,0.011,,
279,0.010,,
280,0.009,,
281,0.010,,
282,0.010,,
283,0.011,,
284,0.012,,
285,0.010,,
286,0.010,,
287,0.010,,
288,0.010,,
289,0.010,,
290,0.010,,
291,0.010,,
292,0.011,,
293,0.011,,
294,0.011,,
295,0.011,,
296,0.011,,
297,0.012,,
298,0.011,,
299,0.012,,
300,0.012,,
301,0.012,,
302,0.011,,
303,0.012,,
304,0.012,,
305,0.011,,
306,0.011,,
307,0.012,,
308,0.011,,
309,0.010,,
310,0.011,,
311,0.011,,
312,0.011,,
313,0.011,,
314,0.010,,
315,0.010,,
316,0.011,,
317,0.011,,
318,0.011,,
319,0.011,,
320,0.011,,
321,0.010,,
322,0.011,,
323,0.011,,
324,0.011,,
325,0.012,,
326,0.011,,
327,0.012,,
328,0.011,,
329,0.011,,
330,0.011,,
331,0.011,,
332,0.010,,
333,0.010,,
334,0.010,,
335,0.010,,
336,0.010,,
337,0.011,,
338,0.011,,
339,0.012,,
340,0.010,,
341,0.010,,
342,0.010,,
343,0.011,,
344,0.011,,
345,0.012,,
346,0.011,,
347,0.010,,
348,0.011,,
349,0.011,,
350,0.010,,
351,0.011,,
352,0.011,,
353,0.010,,
354,0.011,,
355,0.010,,
356,0.011,,
357,0.011,,
358,0.010,,
359,0.010,,
360,0.011,,
361,0.010,,
362,0.010,,
363,0.011,,
364,0.011,,
365,0.011,,
366,0.011,,
367,0.011,,
368,0.010,,
369,0.010,,
370,0.011,,
371,0.011,,
372,0.011,,
373,0.010,,
374,0.011,,
375,0.011,,
376,0.012,,
377,0.011,,
378,0.011,,
379,0.011,,
380,0.011,,
381,0.011,,
382,0.010,,
383,0.011,,
384,0.011,,
385,0.011,,
386,0.012,,
387,0.012,,
388,0.011,,
389,0.010,,
390,0.012,,
391,0.011,,
392,0.011,,
393,0.012,,
394,0.012,,
395,0.011,,
396,0.012,,
397,0.014,,
398,0.013,,
399,0.011,,
400,0.011,,
401,0.011,,
402,0.011,,
403,0.010,,
404,0.011,,
405,0.012,,
406,0.011,,
407,0.010,,
408,0.011,,
409,0.011,,
410,0.010,,
411,0.010,,
412,0.012,,
413,0.013,,
414,0.013,,
415,0.012,,
416,0.012,,
417,0.010,,
418,0.010,,
419,0.011,,
420,0.011,,
421,0.011,,
422,0.011,,
423,0.010,,
424,0.011,,
425,0.012,,
426,0.012,,
427,0.012,,
428,0.011,,
429,0.011,,
430,0.012,,
431,0.014,,
432,0.013,,
433,0.011,,
434,0.011,,
435,0.012,,
436,0.012,,
437,0.011,,
438,0.011,,
439,0.011,,
440,0.011,,
441,0.010,,
442,0.012,,
443,0.012,,
444,0.011,,
445,0.010,,
446,0.010,,
447,0.011,,
448,0.012,,
449,0.012,,
450,0.011,,
451,0.011,,
452,0.011,,
453,0.012,,
454,0.012,,
455,0.011,,
456,0.011,,
457,0.010,,
458,0.010,,
459,0.010,,
460,0.011,,
461,0.011,,
462,0.011,,
463,0.011,,
464,0.012,,
465,0.011,,
466,0.012,,
467,0.011,,
468,0.010,,
469,0.011,,
470,0.011,,
471,0.011,,
472,0.011,,
473,0.011,,
474,0.010,,
475,0.011,,
476,0.011,,
477,0.012,,
478,0.011,,
479,0.010,,
480,0.010,,
481,0.010,,
482,0.011,,
483,0.011,,
484,0.011,,
485,0.010,,
486,0.012,,
487,0.012,,
488,0.011,,
489,0.011,,
490,0.011,,
491,0.012,,
492,0.012,,
493,0.011,,
494,0.012,,
495,0.011,,
496,0.011,,
497,0.011,,
498,0.010,,
499,0.011,,
500,0.011,,
501,0.011,,
502,0.010,,
503,0.010,,
504,0.010,,
505,0.010,,
506,0.010,,
507,0.009,,
508,0.010,,
509,0.010,,
510,0.010,,
511,0.011,,
512,0.011,,
513,0.013,,
514,0.013,,
515,0.011,,
516,0.011,,
517,0.011,,
518,0.012,,
519,0.010,,
520,0.010,,
521,0.011,,
522,0.011,,
523,0.011,,
524,0.010,,
525,0.010,,
526,0.011,,
527,0.011,,
528,0.011,,
529,0.012,,
530,0.012,,
531,0.011,,
532,0.011,,
533,0.011,,
534,0.025,,
535,0.077,,
536,0.068,,
537,0.012,,
538,0.011,,
539,0.011,,
540,0.010,,
541,0.010,,
542,0.010,,
543,0.010,,
544,0.010,,
545,0.011,,
546,0.011,,
